"id";"questionnaire";"code";"text";"scale";"answers";"participant";"timestamp";"given_answer"
11;"cse_pre";"CSE_SWG_3";"Ich bin in der Lage, die meisten meiner Probleme zu bewältigen.";"self-esteem";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.694289+00:00";
12;"cse_post";"CSE_SWG_3";"Ich bin in der Lage, die meisten meiner Probleme zu bewältigen.";"self-esteem";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.696722+00:00";
13;"cse_pre";"CSE_N_1r";"Manchmal bin ich deprimiert.";"neuroticism";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.699249+00:00";
14;"cse_post";"CSE_N_1r";"Manchmal bin ich deprimiert.";"neuroticism";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.701677+00:00";
15;"cse_pre";"CSE_N_2r";"Wenn ich etwas nicht schaffe, fühle ich mich manchmal wertlos.";"neuroticism";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.704175+00:00";
16;"cse_post";"CSE_N_2r";"Wenn ich etwas nicht schaffe, fühle ich mich manchmal wertlos.";"neuroticism";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.706679+00:00";
17;"cse_pre";"CSE_N_3r";"Es gibt Zeiten, in denen mir die Dinge ziemlich düster und hoffnungslos erscheinen.";"neuroticism";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.709171+00:00";
18;"cse_post";"CSE_N_3r";"Es gibt Zeiten, in denen mir die Dinge ziemlich düster und hoffnungslos erscheinen.";"neuroticism";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.711552+00:00";
19;"cse_pre";"CSE_LOC_1r";"Manchmal habe ich das Gefühl, keine Kontrolle über mein Studium zu haben.";"Locus of Control";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.714047+00:00";
20;"cse_post";"CSE_LOC_1r";"Manchmal habe ich das Gefühl, keine Kontrolle über mein Studium zu haben.";"Locus of Control";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.716418+00:00";
21;"cse_pre";"CSE_LOC_2";"Ich bestimme, was in meinem Leben geschehen soll.";"Locus of Control";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.718931+00:00";
22;"cse_post";"CSE_LOC_2";"Ich bestimme, was in meinem Leben geschehen soll.";"Locus of Control";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.721372+00:00";
23;"cse_pre";"CSE_LOC_3r";"Ich habe das Gefühl, den Erfolg in meinem Studium nicht unter Kontrolle zu haben.";"Locus of Control";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.723940+00:00";
24;"cse_post";"CSE_LOC_3r";"Ich habe das Gefühl, den Erfolg in meinem Studium nicht unter Kontrolle zu haben.";"Locus of Control";"['völlig unzutreffend', 'eher unzutreffend', 'mittelmäßig zutreffend', 'eher zutreffend', 'völlig zutreffend']";0;"2020-06-28 12:40:07.726371+00:00";
25;"nasa_tlx";"TLX_1";"Wie hoch waren die geistigen Anforderungen der Aufgabe?";"Geistige Anforderungen";"['sehr niedrig', 'sehr hoch']";0;"2020-06-28 12:40:07.748572+00:00";
26;"nasa_tlx";"TLX_2";"Wie erfolgreich haben Sie die geforderte Aufgabe Ihrer Ansicht nach durchgeführt?";"Leistung";"['perfekter Erfolg', 'Misserfolg']";0;"2020-06-28 12:40:07.751074+00:00";
27;"nasa_tlx";"TLX_3";"Wie sehr mussten Sie sich anstrengen, um Ihre Leistung zu erreichen?";"Anstrengung";"['sehr wenig', 'sehr stark']";0;"2020-06-28 12:40:07.753558+00:00";
28;"nasa_tlx";"TLX_4";"Wie verunsichert, entmutigt, gereizt und verärgert waren Sie?";"Frustration";"['sehr wenig', 'sehr stark']";0;"2020-06-28 12:40:07.756018+00:00";
29;"nasa_tlx";"TLX_1";"Wie hoch waren die geistigen Anforderungen der Aufgabe?";"Geistige Anforderungen";"['sehr niedrig', 'sehr hoch']";12;"2020-06-28 12:41:30.804433+00:00";5
30;"nasa_tlx";"TLX_2";"Wie erfolgreich haben Sie die geforderte Aufgabe Ihrer Ansicht nach durchgeführt?";"Leistung";"['perfekter Erfolg', 'Misserfolg']";12;"2020-06-28 12:41:30.810619+00:00";13
31;"nasa_tlx";"TLX_3";"Wie sehr mussten Sie sich anstrengen, um Ihre Leistung zu erreichen?";"Anstrengung";"['sehr wenig', 'sehr stark']";12;"2020-06-28 12:41:30.815248+00:00";10
32;"nasa_tlx";"TLX_4";"Wie verunsichert, entmutigt, gereizt und verärgert waren Sie?";"Frustration";"['sehr wenig', 'sehr stark']";12;"2020-06-28 12:41:30.819755+00:00";10
33;"nasa_tlx";"TLX_1";"Wie hoch waren die geistigen Anforderungen der Aufgabe?";"Geistige Anforderungen";"['sehr niedrig', 'sehr hoch']";14;"2020-07-03 15:13:13.879539+00:00";10
34;"nasa_tlx";"TLX_2";"Wie erfolgreich haben Sie die geforderte Aufgabe Ihrer Ansicht nach durchgeführt?";"Leistung";"['perfekter Erfolg', 'Misserfolg']";14;"2020-07-03 15:13:13.887499+00:00";17
35;"nasa_tlx";"TLX_3";"Wie sehr mussten Sie sich anstrengen, um Ihre Leistung zu erreichen?";"Anstrengung";"['sehr wenig', 'sehr stark']";14;"2020-07-03 15:13:13.892944+00:00";10
36;"nasa_tlx";"TLX_4";"Wie verunsichert, entmutigt, gereizt und verärgert waren Sie?";"Frustration";"['sehr wenig', 'sehr stark']";14;"2020-07-03 15:13:13.897370+00:00";1
37;"nasa_tlx";"TLX_1";"Wie hoch waren die geistigen Anforderungen der Aufgabe?";"Geistige Anforderungen";"['sehr niedrig', 'sehr hoch']";15;"2020-07-03 15:20:58.691321+00:00";11
38;"nasa_tlx";"TLX_2";"Wie erfolgreich haben Sie die geforderte Aufgabe Ihrer Ansicht nach durchgeführt?";"Leistung";"['perfekter Erfolg', 'Misserfolg']";15;"2020-07-03 15:20:58.700341+00:00";15
39;"nasa_tlx";"TLX_3";"Wie sehr mussten Sie sich anstrengen, um Ihre Leistung zu erreichen?";"Anstrengung";"['sehr wenig', 'sehr stark']";15;"2020-07-03 15:20:58.705365+00:00";11
40;"nasa_tlx";"TLX_4";"Wie verunsichert, entmutigt, gereizt und verärgert waren Sie?";"Frustration";"['sehr wenig', 'sehr stark']";15;"2020-07-03 15:20:58.710280+00:00";1
41;"nasa_tlx";"TLX_1";"Wie hoch waren die geistigen Anforderungen der Aufgabe?";"Geistige Anforderungen";"['sehr niedrig', 'sehr hoch']";16;"2020-07-03 15:43:53.008450+00:00";12
42;"nasa_tlx";"TLX_2";"Wie erfolgreich haben Sie die geforderte Aufgabe Ihrer Ansicht nach durchgeführt?";"Leistung";"['perfekter Erfolg', 'Misserfolg']";16;"2020-07-03 15:43:53.015405+00:00";5
43;"nasa_tlx";"TLX_3";"Wie sehr mussten Sie sich anstrengen, um Ihre Leistung zu erreichen?";"Anstrengung";"['sehr wenig', 'sehr stark']";16;"2020-07-03 15:43:53.019972+00:00";10
44;"nasa_tlx";"TLX_4";"Wie verunsichert, entmutigt, gereizt und verärgert waren Sie?";"Frustration";"['sehr wenig', 'sehr stark']";16;"2020-07-03 15:43:53.024354+00:00";3
45;"nasa_tlx";"TLX_1";"Wie hoch waren die geistigen Anforderungen der Aufgabe?";"Geistige Anforderungen";"['sehr niedrig', 'sehr hoch']";19;"2020-07-03 16:39:08.798725+00:00";4
46;"nasa_tlx";"TLX_2";"Wie erfolgreich haben Sie die geforderte Aufgabe Ihrer Ansicht nach durchgeführt?";"Leistung";"['perfekter Erfolg', 'Misserfolg']";19;"2020-07-03 16:39:08.805693+00:00";13
47;"nasa_tlx";"TLX_3";"Wie sehr mussten Sie sich anstrengen, um Ihre Leistung zu erreichen?";"Anstrengung";"['sehr wenig', 'sehr stark']";19;"2020-07-03 16:39:08.810524+00:00";4
48;"nasa_tlx";"TLX_4";"Wie verunsichert, entmutigt, gereizt und verärgert waren Sie?";"Frustration";"['sehr wenig', 'sehr stark']";19;"2020-07-03 16:39:08.815046+00:00";1
