;Depth;Content Specificity ;Time Specificity;Hierarchy - High Level;Hierarchy - Low Level;Network Congruence;Measurability;Approach/ Avoidance Framing;Process Focus;Outcome Focus;Immediate Actionability;Estimated Effort;Plannability;Controllability;Challenge;Defined Subgoals;Social Support;Informational Support;Instrumental Support;Financial Affordance;Visibility;Time Availability;Competence Adequacy;Self-Congruence;Value Congruence;Importance;Awareness;Vitality;Long-Term Utility;Short-Term Utility;Relative Utility;Self- Improvement Utility;Negative Utility
Immediate Actionability;0.04224141512682139;0.049641187398582844;0.03575851869942484;0.032489045791573384;0.2208483191071191;0.36628225701271244;0.12349893932989443;-0.08396027820346713;0.1131556441679207;-0.18787136947454736;1.0;0.04395371336687963;0.4967399490467895;0.36454508446257766;-0.12966222529715934;0.11167484773265797;0.2164437447757616;0.3008737931886378;0.20416698588530302;0.1474554924469286;0.28174139690698075;0.19903646509010103;-0.02338059680804352;0.2481189831479925;0.1877773186065532;0.07940101087960717;0.23990537770767434;0.20901277239740995;0.1949799790800668;0.11287535985823731;-0.024955750828712042;0.05895816404554201;-0.05191163120763465
Estimated Effort;0.16488886364972138;0.005288549762354913;-0.18520475361818348;-0.5494202375884588;-0.2980985498179511;-0.32570056929072166;0.2377701719372153;-0.2204301718879162;-0.24597620276435256;0.1448301512718763;0.04395371336687963;1.0;0.4486713324630088;0.27308506220542583;-0.6890220153433132;-0.17994089830448332;-0.38792589853270665;0.23231157816505138;0.10799108420730193;0.07984282801843362;-0.19902706215951171;0.36272150068924314;0.28074471598304024;-0.32618989317467934;-0.42077462603851296;-0.4895521251692672;-0.21207412716443164;-0.010249686512503908;-0.46391471685302244;-0.23748500507598794;-0.2986237891119981;-0.44977277792986164;-0.10016101343013609
Plannability;0.19348918925345338;0.27286415871943226;0.047462621565015205;-0.30620238731234295;0.05378128264286806;0.1322184228242386;0.5007879051196141;0.007078272249996833;-0.06843165868300016;0.07411592202004584;0.4967399490467895;0.4486713324630088;1.0;0.4994327766769298;-0.48154281037100105;0.1137705201540439;-0.05007165067576741;0.5102327331399605;0.36601388748173574;0.1732917617000835;0.1581939554102958;0.3279672932227695;0.2633423310791196;-0.05995742866705974;-0.07274165590811663;-0.17493405765311512;0.15444043030798252;0.18151215304485782;-0.08348681789183618;0.05186274977907544;-0.18012477318498557;-0.193528753297037;-0.0459368930189464
Controllability;0.1023299998389311;0.21369758542791517;0.22175357539938426;-0.20598588777369414;0.14946467232138233;0.04708142855430958;0.29631221413386905;0.10018166122858613;-0.014221731913588772;0.09292381429064946;0.36454508446257766;0.27308506220542583;0.4994327766769298;1.0;-0.3926078192425128;0.08221940862750708;-0.04418192528412086;0.5046661469894272;0.5541963702730934;0.17682716099671147;0.014922697716540674;0.20864876019940978;0.3554370358549031;-0.14848109249236383;-0.03690114988213942;-0.09630176716165265;0.050661366457884736;0.18396357922793374;-0.039271686165652075;0.1338352574073985;0.0012398405077535292;-0.06153672040883461;-0.19084162114867406
Challenge;-0.19326317143698116;-0.11920001052454444;0.07568341599735501;0.49718958522676376;0.12201502647719342;0.23333391570922418;-0.33281730072740845;0.08332554731877811;0.3426710382177797;-0.20116015039542842;-0.12966222529715934;-0.6890220153433132;-0.48154281037100105;-0.3926078192425128;1.0;0.05590692693823093;0.3598729221938518;-0.37016216189297174;-0.2522421546485548;-0.13144620380551184;0.1608974017322972;-0.27895535193851373;-0.34765842969290345;0.34840951669008496;0.3062283721845871;0.38981968499556807;0.045360719476981906;0.02066273030620894;0.41785267245333935;0.22069973609819812;0.2635715004934754;0.4801560211106797;0.013912088102969978
Defined Subgoals;-0.052676859461266434;0.34099908392454614;0.1985624334994533;0.1960664850717618;0.1848104899431673;0.09745074510728478;0.3214752074155414;0.1301874391106735;-0.09881849881122871;0.16145162632553664;0.11167484773265797;-0.17994089830448332;0.1137705201540439;0.08221940862750708;0.05590692693823093;1.0;0.236537080020349;-0.059293656128886756;-0.16977506831722824;-0.23124635059961302;0.2649050900040253;-0.1266232395312131;-0.023960905984346158;0.17747198303208886;0.07260070283601033;0.2769843379072211;0.1817177591734478;0.10527992095315733;0.32141228678851347;0.13158622215421328;0.1915630727911228;0.13935904543813163;0.2728179760412797
Social Support;-0.15831186659566118;0.16103421567748363;0.27944149414437774;0.447222881068669;0.11272245344846651;0.1643641846705573;-0.01644890060360483;-0.015870088975055072;0.2464725965894033;0.055380528878852676;0.2164437447757616;-0.38792589853270665;-0.05007165067576741;-0.04418192528412086;0.3598729221938518;0.236537080020349;1.0;-0.13263704115807248;-0.029467132344998138;0.14894697129861587;0.36597745947753385;0.024345715684415997;-0.0335617386064097;0.4417625723150003;0.45172394624283846;0.569612164689159;0.2321183565141384;0.18799951769410095;0.5311295354336818;0.5513527457877647;0.3724698281949159;0.5769288627845952;-0.08596902728407171
Informational Support;0.046177829960888955;0.14299477833645496;0.08067413488062473;-0.09444298138595474;0.13061843255701353;0.0941758074489467;0.2546583454890552;0.06589313767484536;-0.011868606677905928;-0.009544752104585653;0.3008737931886378;0.23231157816505138;0.5102327331399605;0.5046661469894272;-0.37016216189297174;-0.059293656128886756;-0.13263704115807248;1.0;0.7417608906958252;0.1589500818640205;0.16494589986620217;0.21376383484082423;0.28455645736668805;-0.03754926396336838;0.045303306132270724;-0.10803208285153734;0.289885974233024;0.2540714831025674;-0.0975543049025481;0.17563521670965038;-0.16235270340821853;-0.17433965286893519;-0.1342284959331416
Instrumental Support;0.03207674744947398;0.1633175232272146;0.21238737009290184;-0.07439092676588774;0.2661208534896352;0.10052058342875704;0.18638186772532425;0.23619416502161913;-0.04301841080188514;0.07855066080002977;0.20416698588530302;0.10799108420730193;0.36601388748173574;0.5541963702730934;-0.2522421546485548;-0.16977506831722824;-0.029467132344998138;0.7417608906958252;1.0;0.35441777986378137;0.029172045544283633;0.22140534871346684;0.4276063384734927;-0.025921908787265895;0.16105146545418106;0.03681980667791924;0.24178265317982434;0.2594092602673938;-0.046296643800804144;0.1662078221218436;-0.12514247281200386;-0.10700681122300984;-0.2933094448353712
Financial Affordance;0.060251399036396;-0.025004660144986045;-0.01625874525901835;-0.08019333548716272;0.03947442160095549;0.13309711258678672;-0.020070770744834474;0.09595839325008558;-0.12837367491264662;0.08111459190560459;0.1474554924469286;0.07984282801843362;0.1732917617000835;0.17682716099671147;-0.13144620380551184;-0.23124635059961302;0.14894697129861587;0.1589500818640205;0.35441777986378137;1.0;-0.06731698501647178;0.334468701428826;0.16160012846502844;-0.035321091076852565;0.15030530541972062;0.032285986042162776;0.15472733175477799;-0.11842248957909608;-0.057736359460766835;0.04823007705888938;-0.05019132729410406;-0.01849140636170436;-0.311723733030434
Visibility;-0.14719679960317028;0.32627429562976545;0.2264826149344938;0.3580514037933409;0.10093461741768794;0.28684667183074314;0.261684448105775;-0.020813922072440483;0.174832996797386;0.0037797375003764365;0.28174139690698075;-0.19902706215951171;0.1581939554102958;0.014922697716540674;0.1608974017322972;0.2649050900040253;0.36597745947753385;0.16494589986620217;0.029172045544283633;-0.06731698501647178;1.0;0.03571413812712378;0.011117112304613059;0.3869217860954688;0.3669155964853038;0.43010609695602614;0.4607562587061244;0.28485626319338514;0.5694512193188013;0.32077491549749076;0.3200299296327862;0.39409204469207204;-0.0676362942254256
Time Availability;0.08799086297759484;0.13413263179237106;0.06687018358098924;-0.11880861387606953;0.004684350452456982;0.11958222887965377;0.1713220783191671;0.03093715416131908;-0.15383995005655765;0.10362865313259695;0.19903646509010103;0.36272150068924314;0.3279672932227695;0.20864876019940978;-0.27895535193851373;-0.1266232395312131;0.024345715684415997;0.21376383484082423;0.22140534871346684;0.334468701428826;0.03571413812712378;1.0;0.27332754675246773;0.010806668928684801;-0.014136009184380518;0.010283223089476956;0.156803693663367;0.0683516041042212;0.0014525923802039128;0.009850775366205506;-0.06619903969211938;-0.10340957221823022;-0.12212431598623485
Competence Adequacy;0.044274473878614544;0.10083168272217895;0.2188674299399183;0.022328942284006763;0.09694241688185598;-0.02511199977215936;0.12548292696246577;0.2355420954889038;0.006419609557555824;0.13678580170532162;-0.02338059680804352;0.28074471598304024;0.2633423310791196;0.3554370358549031;-0.34765842969290345;-0.023960905984346158;-0.0335617386064097;0.28455645736668805;0.4276063384734927;0.16160012846502844;0.011117112304613059;0.27332754675246773;1.0;0.10253200605915774;0.0647166994232452;0.16077407953639883;0.01937070129248021;0.3338520559956505;0.07189796620546152;0.1591831306416117;-0.01966236187559788;0.004416968476361037;-0.17524403938101
Self-Congruence;-0.24787520713176278;-0.018704713321085142;0.06857715149508485;0.610340423274298;0.17417888360677616;0.3404582164340394;-0.2039673124586542;0.12491671813599242;0.2601017636467767;-0.08985465671877255;0.2481189831479925;-0.32618989317467934;-0.05995742866705974;-0.14848109249236383;0.34840951669008496;0.17747198303208886;0.4417625723150003;-0.03754926396336838;-0.025921908787265895;-0.035321091076852565;0.3869217860954688;0.010806668928684801;0.10253200605915774;1.0;0.7589945842508274;0.5960641850573408;0.3401989423310497;0.5502271864871489;0.574905718866007;0.28060562259621896;0.3508759312263063;0.5755319753896184;0.0016781264066021832
Value Congruence;-0.21421311052218017;0.050412372039368956;0.15590623926049793;0.5457783923251437;0.21516251082054486;0.3532988898117028;-0.14774908349774127;0.19748183032507477;0.239097305085695;-0.05235271931943491;0.1877773186065532;-0.42077462603851296;-0.07274165590811663;-0.03690114988213942;0.3062283721845871;0.07260070283601033;0.45172394624283846;0.045303306132270724;0.16105146545418106;0.15030530541972062;0.3669155964853038;-0.014136009184380518;0.0647166994232452;0.7589945842508274;1.0;0.6942932150911498;0.4308400836888034;0.47835102227788073;0.5402940037330437;0.2839867067740176;0.3969517107293713;0.5863404911328273;-0.19653987678560986
Importance;-0.2666864695675333;0.17194445440403813;0.24875755912135022;0.6041011621984022;0.23116435488687492;0.2971760623241769;-0.15577520170893341;0.21171656671910136;0.19545339844234108;0.03917227557405004;0.07940101087960717;-0.4895521251692672;-0.17493405765311512;-0.09630176716165265;0.38981968499556807;0.2769843379072211;0.569612164689159;-0.10803208285153734;0.03681980667791924;0.032285986042162776;0.43010609695602614;0.010283223089476956;0.16077407953639883;0.5960641850573408;0.6942932150911498;1.0;0.390364224926918;0.35592334407023146;0.7057905577386868;0.3558250395329586;0.5068995534198714;0.6253522680047228;-0.08706069833674047
Awareness;-0.15686974542407597;0.10176249632861513;-0.004139414784127315;0.2751461322916141;0.05759165389960127;0.4613064151861124;0.09100696521690443;0.21716566647953836;-0.0011568475358367848;-0.00046304558834418943;0.23990537770767434;-0.21207412716443164;0.15444043030798252;0.050661366457884736;0.045360719476981906;0.1817177591734478;0.2321183565141384;0.289885974233024;0.24178265317982434;0.15472733175477799;0.4607562587061244;0.156803693663367;0.01937070129248021;0.3401989423310497;0.4308400836888034;0.390364224926918;1.0;0.17660174667202896;0.33583600858943624;0.17846449697336617;0.09076505998168652;0.21569688427003586;-0.13906026722737963
Vitality;-0.13043493919369922;0.09746178514562713;0.3141478125772881;0.32236879071469793;0.13576072839536052;0.18720427314059662;-0.0032157810843004265;0.1099567772606237;0.17840942663049233;0.02107822717224828;0.20901277239740995;-0.010249686512503908;0.18151215304485782;0.18396357922793374;0.02066273030620894;0.10527992095315733;0.18799951769410095;0.2540714831025674;0.2594092602673938;-0.11842248957909608;0.28485626319338514;0.0683516041042212;0.3338520559956505;0.5502271864871489;0.47835102227788073;0.35592334407023146;0.17660174667202896;1.0;0.3421597663940197;0.2820581732108557;0.208570915692372;0.34111529368295723;-0.08180360597966235
Long-Term Utility;-0.26044166002218194;0.1512728027629801;0.2925373652398009;0.6965687955479453;0.19835339140236996;0.25473933300335627;-0.07176861897934038;0.09955610134305126;0.32227728896369295;-0.06529574255686733;0.1949799790800668;-0.46391471685302244;-0.08348681789183618;-0.039271686165652075;0.41785267245333935;0.32141228678851347;0.5311295354336818;-0.0975543049025481;-0.046296643800804144;-0.057736359460766835;0.5694512193188013;0.0014525923802039128;0.07189796620546152;0.574905718866007;0.5402940037330437;0.7057905577386868;0.33583600858943624;0.3421597663940197;1.0;0.5393234433479748;0.5592501069399919;0.679756171561322;-0.09696282509172305
Short-Term Utility;-0.010507451624933464;0.14852427596249937;0.262114677282158;0.32695685714790174;0.14400258322832213;-0.007141803963592235;0.04618734045756145;-0.011490204506867965;0.3292809105414344;-0.023372078084059826;0.11287535985823731;-0.23748500507598794;0.05186274977907544;0.1338352574073985;0.22069973609819812;0.13158622215421328;0.5513527457877647;0.17563521670965038;0.1662078221218436;0.04823007705888938;0.32077491549749076;0.009850775366205506;0.1591831306416117;0.28060562259621896;0.2839867067740176;0.3558250395329586;0.17846449697336617;0.2820581732108557;0.5393234433479748;1.0;0.2789092334502509;0.49070657045077265;-0.12943806785619844
Relative Utility;-0.26374303699784;0.09930810241042694;0.22707483768632206;0.5256269297884779;0.12380518179754312;0.022408281034590638;0.020186147720703384;-0.07588376378639415;0.1772794856785485;0.1636236143360471;-0.024955750828712042;-0.2986237891119981;-0.18012477318498557;0.0012398405077535292;0.2635715004934754;0.1915630727911228;0.3724698281949159;-0.16235270340821853;-0.12514247281200386;-0.05019132729410406;0.3200299296327862;-0.06619903969211938;-0.01966236187559788;0.3508759312263063;0.3969517107293713;0.5068995534198714;0.09076505998168652;0.208570915692372;0.5592501069399919;0.2789092334502509;1.0;0.6120608733670978;0.010666472084944907
Self- Improvement Utility;-0.1361013922778008;0.029366921415051643;0.20898047664091435;0.6060153682541929;0.14338948995627845;0.2804389440381181;-0.1765965797177381;0.09327498212357045;0.48735808351176985;-0.2096163305529903;0.05895816404554201;-0.44977277792986164;-0.193528753297037;-0.06153672040883461;0.4801560211106797;0.13935904543813163;0.5769288627845952;-0.17433965286893519;-0.10700681122300984;-0.01849140636170436;0.39409204469207204;-0.10340957221823022;0.004416968476361037;0.5755319753896184;0.5863404911328273;0.6253522680047228;0.21569688427003586;0.34111529368295723;0.679756171561322;0.49070657045077265;0.6120608733670978;1.0;-0.2424934615047675
Negative Utility;0.010517677929640893;0.013988305726923554;-0.13966038766999114;-0.06337492373370167;-0.030994745869552812;-0.16812970530811672;0.06721996807114392;-0.17748657180524746;-0.1641192196809771;0.18547039181356123;-0.05191163120763465;-0.10016101343013609;-0.0459368930189464;-0.19084162114867406;0.013912088102969978;0.2728179760412797;-0.08596902728407171;-0.1342284959331416;-0.2933094448353712;-0.311723733030434;-0.0676362942254256;-0.12212431598623485;-0.17524403938101;0.0016781264066021832;-0.19653987678560986;-0.08706069833674047;-0.13906026722737963;-0.08180360597966235;-0.09696282509172305;-0.12943806785619844;0.010666472084944907;-0.2424934615047675;1.0
